video_id,video_timestamp,video_duration,video_locationcreated,suggested_words,video_diggcount,video_sharecount,video_commentcount,video_playcount,video_description,video_is_ad,video_stickers,author_username,author_name,author_followercount,author_followingcount,author_heartcount,author_videocount,author_diggcount,author_verified
7308077776899214598,2023-12-02T14:14:17,7.0,NG,,2960.0,62.0,25.0,40100.0,,False,,gershom_of_tiktok,GERSHOM OF TIKTOK 👾,,,,,,False
7309271464530808097,2023-12-05T19:26:46,22.0,GB,,7101.0,44.0,34.0,34900.0,"Separately, the mix😤😤 #ad1a #fypシ #africantiktok #westafricantiktok #uktiktok #foryou ",False,,a.d1aaa,A💛TV,,,,,,False
7310200029459844358,2023-12-08T07:29:42,600.0,GH,,3430.0,51.0,96.0,40700.0,Ship Dealer be funny waa 😆 🤣 #ghanatiktok🇬🇭 #foryoupage #fypシ #viralvideo #haha #funnyvideos #comedyghana #shipdealer😂 ,False,,itz_kwakwa,Sir Alby,,,,,,False
7304488612534422786,2023-11-22T22:06:28,21.0,,,254.0,2.0,2.0,738700.0,From our families to yours! Happy Holidays!,True,,HappyHannas,HappyHannas,,,,,,False
7308659039188028678,2023-12-04T03:49:52,27.0,NG,"Burna Boy, anybody burna boy, anybody lyrics, Burna Boy Song, lyrics songs, burna boy lyrics, music lyrics, burnaboyofficial, lyrics, outsiders",189500.0,10500.0,717.0,2900000.0,Daily Dosage 🏋🏽‍♂️🦍.                                    #burnaboy #anybody #outsiders #fyp,False,,burnaboy_outsiders,burnaboy_outsiders,,,,,,False
7305757902512409889,2023-11-26T08:12:01,41.0,GH,,25600.0,200.0,517.0,213700.0,Dont miss church today oo,False,,terryyerry,Terryyerry✨,,,,,,False
7310657206322613510,2023-12-09T13:03:46,0.0,NG,,1183.0,73.0,5.0,28900.0,Mr Eazi ft Burna Boy - Miss You Bad (Lyrics)  #lyricstrybe #afrobeats #viral  #tiktokafrica #tiktoknigeria #tiktokmusic #lyricsvideo #viral #music #musiclyrics #foryou #fyp #foryoupage #naijalyrics #xyzbca ,False,,lyrics_trybe,LyricsTrybe,,,,,,False
7311148659327159598,2023-12-10T20:51:05,21.0,US,,12.0,0.0,0.0,238.0,#CapCut #loveyou #foryoupage #keepgoing #worthy #enough #cometoofartogiveup ,False,,sunshine_1282,Sunshine,,,,,,False
7303714598866210053,2023-11-20T20:02:56,230.0,GH,,16000.0,31.0,76.0,205400.0,#kofiquanmusic #kofiquan #trend #fyp ,False,,kofiquanmusic,Kofi Quan Music,,,,,,False
7310666778525306117,2023-12-09T13:40:54,31.0,GH,,1095.0,0.0,10.0,11200.0,"Religion vs Logic, where do you stand?  #bantsandrants #religion #logic #trending #ghanatiktok🇬🇭 #kwadwosheldonstudios ",False,,kwadwosheldonstudios,kwadwosheldonstudios,,,,,,False
